text,cedis_code,cedis_complaint,domain,source,rule_applied
febrile neonate,852,Fever,General and Minor,silver,
Hip fracture,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
miscarriage process,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
MVA w back injury,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
Subdural Hematoma,407,Head injury,Neurologic,silver,
frostbite,205,Hypothermia,Environmental,rule,HYPOTHERMIA
"epilepticus, intubated",405,Seizure,Neurologic,silver,
assault,454,Sexual assault,OB/GYN,silver,
ENT Bleed,151,Epistaxis,ENT - Nose,silver,
Pancreatitis,251,Abdominal pain,Gastrointestinal,silver,
Suicidal attempt,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
3x febrile,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
Acute ETOH,751,Substance misuse/intoxication,Substance Misuse,silver,
"<LOCATION>, Afib RVR",5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
SI Pain,551,Back pain,Orthopedic,silver,
angioedema,657,Allergic reaction,Respiratory,silver,
Depression SI,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
rash peeling skin,708,Rash,Skin,silver,
extremity weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
drank bleach,204,Chemical exposure,Environmental,silver,
<PERSON> Bite,701,Bite,Skin,silver,
Overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Drug / Seizure,405,Seizure,Neurologic,silver,
"<PERSON> pain, emesis, transaminitis",259,Vomiting blood,Gastrointestinal,silver,
Flaccidiz,411,Floppy child,Neurologic,silver,
acetaminophen overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Chest pain with abnormal EKG,3,Chest pain—cardiac features,Cardiovascular,silver,
Chemical burn,502,"Chemical exposure, eye",Ophthalmology,silver,
burn,705,Burn,Skin,silver,
Acute dyspnea,651,Shortness of breath,Respiratory,silver,
Hypertension,6,Hypertension,Cardiovascular,silver,
acute cholecystitis,251,Abdominal pain,Gastrointestinal,rule,CHOLECYSTITIS
Hanging,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
EKG,859,Imaging tests,General and Minor,silver,
"AMS, renal failure",402,Confusion,Neurologic,silver,
Trauma / ETOH,751,Substance misuse/intoxication,Substance Misuse,silver,
scrotal,305,Scrotal pain and/or swelling,Genitourinary,silver,
"Fever, bloody diarrhea",852,Fever,General and Minor,silver,
Lt sided weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
"Appendicitis (unruptured), ovarian cyst",251,Abdominal pain,Gastrointestinal,silver,
R ankle fx,557,Lower extremity injury,Orthopedic,silver,
assault,802,Major trauma—blunt,Trauma,silver,
TBI ; Behavioral disturbances,407,Head injury,Neurologic,silver,
"fever, resp distress",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
chest wall pain and shortness,651,Shortness of breath,Respiratory,silver,
post cardiac arrest,1,Cardiac arrest (non-traumatic),Cardiovascular,rule,CARDIAC_ARREST
Chest pain/ACS,3,Chest pain—cardiac features,Cardiovascular,rule,ACS
neonatal fever,852,Fever,General and Minor,silver,
MVH/L Femur,802,Major trauma—blunt,Trauma,silver,
Sever cellulitis,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
Skull Fructure,802,Major trauma—blunt,Trauma,silver,
respiratory,651,Shortness of breath,Respiratory,silver,
"OD, suicidal",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
orbital cellulitis,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
perforated viscous,866,Minor complaints NOS,General and Minor,silver,
open fx L,802,Major trauma—blunt,Trauma,silver,
PNA,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"Head injury, degloving",407,Head injury,Neurologic,silver,
leg weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
preeclampsia,455,Vaginal bleed,OB/GYN,rule,PPH_OBSTETRIC_BLEED
"AMS, Vomiting",401,Altered level of consciousness,Neurologic,silver,
probable urosepsis,307,UTI complaints,Genitourinary,silver,
Pre-term labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
"RUQ pain, cholecystitis?",251,Abdominal pain,Gastrointestinal,rule,CHOLECYSTITIS
Sever ABD Pain,251,Abdominal pain,Gastrointestinal,silver,
"hypoxia, SOB, + COVID",653,Cough/congestion,Respiratory,rule,COVID
RLQ abdominal pain,251,Abdominal pain,Gastrointestinal,silver,
fall from 7 ft,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
<PERSON> upper GI bleed w/severe anemia,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
"G3P3 @ 38w2d, labor",457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
AMS N/V,401,Altered level of consciousness,Neurologic,silver,
"NSTEMI, HF",3,Chest pain—cardiac features,Cardiovascular,rule,STEMI_NSTEMI
Uppper GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
testicular pain,305,Scrotal pain and/or swelling,Genitourinary,silver,
Tachycardia/cocaine overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Covid hypoxia,653,Cough/congestion,Respiratory,rule,COVID
Poss obstructing,251,Abdominal pain,Gastrointestinal,silver,
Torsion testicle,305,Scrotal pain and/or swelling,Genitourinary,silver,
cough / fever,154,URTI complaints,ENT - Nose,silver,
bleeding,455,Vaginal bleed,OB/GYN,silver,
Suicidality,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
S2 with head trauma,407,Head injury,Neurologic,silver,
Femur FX,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
unresponsive,401,Altered level of consciousness,Neurologic,silver,
"s/p trauma, maxilla fracture with lop laceration requiring repair under general anasthesia in OR",865,Post-operative complications,General and Minor,rule,POST_OP
R Knee,555,Lower extremity pain,Orthopedic,silver,
"GIB, anemia",260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
Acute myocardial infarction,3,Chest pain—cardiac features,Cardiovascular,silver,
trauma spine injury,552,Traumatic back/spine injury,Orthopedic,silver,
Chest pain,3,Chest pain—cardiac features,Cardiovascular,silver,
Multi lobar pna,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
severe leg wound,704,Laceration/puncture,Skin,silver,
hematemeses,259,Vomiting blood,Gastrointestinal,silver,
2nd degree burn to LLE,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
L ankle injury,557,Lower extremity injury,Orthopedic,silver,
neck inj,552,Traumatic back/spine injury,Orthopedic,silver,
fever unknown origin,852,Fever,General and Minor,silver,
seizures hypersomnolence,405,Seizure,Neurologic,silver,
stab wounds,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
miscarriage,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
foot-surgical interventions,865,Post-operative complications,General and Minor,silver,
AMS,402,Confusion,Neurologic,silver,
overdese,752,Overdose ingestion,Substance Misuse,silver,
Discolated Shoulder,556,Upper extremity injury,Orthopedic,silver,
palpitations,5,Palpitations/irregular heart beat,Cardiovascular,silver,
pancreatitis bowel,251,Abdominal pain,Gastrointestinal,silver,
<LOCATION> neck fx,552,Traumatic back/spine injury,Orthopedic,silver,
left wrist,556,Upper extremity injury,Orthopedic,silver,
Possible Hip fracture,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
ABD pain post partum,865,Post-operative complications,General and Minor,silver,
Fever,852,Fever,General and Minor,silver,
facial trauma,102,Facial trauma,ENT - Mouth/Throat/Neck,silver,
thermal burns,705,Burn,Skin,silver,
"Trauma, hand injury",556,Upper extremity injury,Orthopedic,silver,
Stroke sx,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
Eye pain,505,Eye pain,Ophthalmology,silver,
Blood loss anemia,864,Pallor/anemia,General and Minor,silver,
MVC / thigh,802,Major trauma—blunt,Trauma,silver,
"Gangrene, feet",709,Localized swelling/redness,Skin,rule,GANGRENE
Right Hip fracture,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
Fever / Distress,852,Fever,General and Minor,silver,
"NSTEMI, anemia",3,Chest pain—cardiac features,Cardiovascular,rule,STEMI_NSTEMI
"vomiting,",257,Nausea and/or vomiting,Gastrointestinal,silver,
Tibial Fracture,557,Lower extremity injury,Orthopedic,silver,
MVA multiple,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
active seizures,405,Seizure,Neurologic,silver,
Fall L Hip Pain,555,Lower extremity pain,Orthopedic,silver,
pnemonia bronchitis,154,URTI complaints,ENT - Nose,silver,
CP / A FIB,5,Palpitations/irregular heart beat,Cardiovascular,silver,
LOC,401,Altered level of consciousness,Neurologic,silver,
SOB/NSVT,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"encephalopathy, PNA, hypoxic respiratory failure",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"fall, possible hip fx",557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
Hip fx,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
Left Hip Fx,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
L hip[ fx,552,Traumatic back/spine injury,Orthopedic,silver,
Gunshot wound L hand,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
suspected active TB,851,Exposure to communicable disease,General and Minor,silver,
hypocix,651,Shortness of breath,Respiratory,silver,
Suicidal risk w/ plan,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
Stab wounds,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
SRM @31 <DATE_TIME>,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
ETOH / back pain,551,Back pain,Orthopedic,silver,
<NRP> 3rd degree heart block,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
"CP, cough , covid +",653,Cough/congestion,Respiratory,rule,COVID
c/f nec fasciitis,866,Minor complaints NOS,General and Minor,silver,
R/o Cholangitis,251,Abdominal pain,Gastrointestinal,rule,CHOLECYSTITIS
Chest pain/SOB,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Chest pain/palpitations,5,Palpitations/irregular heart beat,Cardiovascular,silver,
RLE Cellulitis,709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
renal failure,863,Abnormal lab values,General and Minor,silver,
Intractible vomiting,257,Nausea and/or vomiting,Gastrointestinal,silver,
Presumed GI bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
cough covid +,653,Cough/congestion,Respiratory,rule,COVID
Febrile infant,852,Fever,General and Minor,silver,
HA vertigo severe sudden,403,Vertigo,Neurologic,silver,
MVC - vert fracture,552,Traumatic back/spine injury,Orthopedic,silver,
<DATE_TIME> pregnant - contraction,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
Chest pain,4,Chest pain—non-cardiac features,Cardiovascular,silver,
Skull fractures,407,Head injury,Neurologic,silver,
Pertussis,154,URTI complaints,ENT - Nose,silver,
fall w/ hip pain,555,Lower extremity pain,Orthopedic,silver,
open fx L,557,Lower extremity injury,Orthopedic,silver,
SOB/Cough,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"AMS, hip pain c/f fracture",401,Altered level of consciousness,Neurologic,silver,
Weakness,7,General weakness,Cardiovascular,silver,
"Xray, lab",859,Imaging tests,General and Minor,silver,
Fx femoral neck,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
Suicidal Ideation,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
suicidal thoughts and gesture,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
open fx,802,Major trauma—blunt,Trauma,silver,
MVC w/ concern for head injury requiring CT scans,407,Head injury,Neurologic,silver,
stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
bowel obstruction/abdominal infection,251,Abdominal pain,Gastrointestinal,rule,BOWEL_OBSTRUCTION
L sided weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
SOB needs 02,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"Weakness, falls, SOB",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
epigastric pain,251,Abdominal pain,Gastrointestinal,silver,
"ETOH, MVC, LOC Chest pain",3,Chest pain—cardiac features,Cardiovascular,silver,
facial swelling,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
respiratory distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Stroke like symptoms,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
"SOB, hypoxia",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Disolocated shoulder,556,Upper extremity injury,Orthopedic,silver,
"Chest pain, facial droop",409,Extremity weakness/symptoms of CVA,Neurologic,silver,
"Head Injury, GCS",407,Head injury,Neurologic,silver,
Acute psychosis,353,Hallucinations/delusions,Mental Health,rule,PSYCHOSIS
Snow machine accident,802,Major trauma—blunt,Trauma,silver,
Head/facial trauma,102,Facial trauma,ENT - Mouth/Throat/Neck,silver,
vomiting dehydration,7,General weakness,Cardiovascular,rule,DEHYDRATION
skull osteomyelitis,866,Minor complaints NOS,General and Minor,silver,
conjutivitis,506,"Red eye, discharge",Ophthalmology,silver,
unstable cervical spine fracture,552,Traumatic back/spine injury,Orthopedic,silver,
perl choley tube displacement,860,Medical device problem,General and Minor,silver,
26yo G1P0 at <DATE_TIME> <DATE_TIME> weeks with prolonger PROM,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
Confusion/weakness/SOB,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"Acetaminophen overdose, SI",752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
hip fracture,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
unstable spinal fructure,551,Back pain,Orthopedic,silver,
psychosis,353,Hallucinations/delusions,Mental Health,rule,PSYCHOSIS
back pain,551,Back pain,Orthopedic,silver,
closed head injury,407,Head injury,Neurologic,silver,
"Renal insufficiency, Metabolic acidosis, severe anemia",863,Abnormal lab values,General and Minor,silver,
labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
pneumothorax chest tube,865,Post-operative complications,General and Minor,silver,
"weakness, fever, neck pain",104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
Not speaking,401,Altered level of consciousness,Neurologic,silver,
peripheral edema,10,Bilateral leg swelling/edema,Cardiovascular,silver,
ATV Accident,802,Major trauma—blunt,Trauma,silver,
Failure to Thrive,866,Minor complaints NOS,General and Minor,silver,
Snowmobile accident (low back trauma),552,Traumatic back/spine injury,Orthopedic,silver,
fever infant,852,Fever,General and Minor,silver,
"Overdose, alcohol intoxication",752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
hypoxic respiratory failure,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Stab wound R shoulder,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
ABD Pain in pregnancy,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
alleged mental status,402,Confusion,Neurologic,silver,
Knee Laceration,704,Laceration/puncture,Skin,silver,
alcohol withdrawal syndrome,753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
worsening respiration,651,Shortness of breath,Respiratory,silver,
SOB / Suspect PNA,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
SI/AICD activation,3,Chest pain—cardiac features,Cardiovascular,silver,
"Confusion, Peaked T waves",402,Confusion,Neurologic,silver,
suicidal ideation,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
Head Trauma Loc w/ AMS,407,Head injury,Neurologic,silver,
ac pancreatitis,251,Abdominal pain,Gastrointestinal,silver,
Hip dislocation,557,Lower extremity injury,Orthopedic,silver,
intraparenchymal hematoma/ATV trauma,802,Major trauma—blunt,Trauma,silver,
"delerium, cellulitis, left leg",709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
Acute resp distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
GSW abdomen,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
TBI,407,Head injury,Neurologic,silver,
"new onset CHH, Afib with RVR",5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
AECOPD,651,Shortness of breath,Respiratory,silver,
Alcohol wdrwal,753,Substance withdrawal,Substance Misuse,silver,
congenital syphilis,868,Congenital problem in children,General and Minor,silver,
ABD pain,251,Abdominal pain,Gastrointestinal,silver,
CVA,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
Assault,802,Major trauma—blunt,Trauma,silver,
L facial swelling,709,Localized swelling/redness,Skin,silver,
Arm Fracture,556,Upper extremity injury,Orthopedic,silver,
oral trauma SI,264,Anal/rectal trauma,Gastrointestinal,silver,
preterm rupture,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
pregnancy amd severe preempsia,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
SOB + ETDH w/d,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Chest Pain /Elvated Cardiac Enzymes,3,Chest pain—cardiac features,Cardiovascular,silver,
RVR,5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
elbow disclocation,556,Upper extremity injury,Orthopedic,silver,
fib fx,557,Lower extremity injury,Orthopedic,silver,
suicide,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
L calf injury,557,Lower extremity injury,Orthopedic,silver,
Tachycardia,5,Palpitations/irregular heart beat,Cardiovascular,silver,
syncope,8,Syncope/pre-syncope,Cardiovascular,silver,
?stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
Altered mental status,401,Altered level of consciousness,Neurologic,silver,
"Assault, head injury",407,Head injury,Neurologic,silver,
"Trauma, R Knee",557,Lower extremity injury,Orthopedic,silver,
dizziness,403,Vertigo,Neurologic,silver,
Head <PERSON>,407,Head injury,Neurologic,silver,
"hip pain, 2nd fall",457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
GSW leg,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
Pregnant patient,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
"Chest pain, bradycardia",3,Chest pain—cardiac features,Cardiovascular,silver,
LE Trauma,557,Lower extremity injury,Orthopedic,silver,
R testicular pain,305,Scrotal pain and/or swelling,Genitourinary,silver,
facials swelling,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
gangrene,709,Localized swelling/redness,Skin,rule,GANGRENE
Altered Consiousness,401,Altered level of consciousness,Neurologic,silver,
LLQ Pain,251,Abdominal pain,Gastrointestinal,silver,
overdose intentional,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
acute pancreatitis,251,Abdominal pain,Gastrointestinal,silver,
leg swelling,10,Bilateral leg swelling/edema,Cardiovascular,silver,
"G4P3 @ 30 <DATE_TIME>, abd pain",457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
stab wound chest,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
Syncope/Arythmia,8,Syncope/pre-syncope,Cardiovascular,silver,
Occlusive L DVT,555,Lower extremity pain,Orthopedic,rule,DVT
RLQ pain/R/o ectopic,251,Abdominal pain,Gastrointestinal,silver,
Acute abdomen,251,Abdominal pain,Gastrointestinal,silver,
"weak, lethargic <DATE_TIME>",7,General weakness,Cardiovascular,silver,
anemia <DATE_TIME> GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
Low magnesium,863,Abnormal lab values,General and Minor,silver,
"cough, SOB",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
"Fever, Hypoxic",852,Fever,General and Minor,silver,
multisystem trauma,802,Major trauma—blunt,Trauma,silver,
medication overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"Hanging, respiratory arrest",652,Respiratory arrest,Respiratory,rule,RESPIRATORY_ARREST
SI with Plan,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
ran over by atv,802,Major trauma—blunt,Trauma,silver,
"chest pain, unstable angina",3,Chest pain—cardiac features,Cardiovascular,silver,
trauma,802,Major trauma—blunt,Trauma,silver,
Facial laceration,704,Laceration/puncture,Skin,silver,
<PERSON> delivery,869,Newly Born,General and Minor,silver,
"Hip Pain, Possible fracture",555,Lower extremity pain,Orthopedic,silver,
GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
head injury,407,Head injury,Neurologic,silver,
second degree burn,705,Burn,Skin,silver,
pregnant + bleeding,455,Vaginal bleed,OB/GYN,silver,
Left Arm Fracture,556,Upper extremity injury,Orthopedic,silver,
A fib,5,Palpitations/irregular heart beat,Cardiovascular,silver,
L hip fracture,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
avulsion of nose,155,Nasal trauma,ENT - Nose,silver,
"llq pain, possible ectopic pregnancy",457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
burns to forearms,705,Burn,Skin,silver,
A. Flutter,5,Palpitations/irregular heart beat,Cardiovascular,silver,
Medication overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
sever pre-eclamps,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
<DATE_TIME> w/ PPROM,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
central line,860,Medical device problem,General and Minor,silver,
Acute ABD Pain,251,Abdominal pain,Gastrointestinal,silver,
MVA Trauma,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
Choladocholithiasis,251,Abdominal pain,Gastrointestinal,silver,
"miscarriage, vaginal bleeding",455,Vaginal bleed,OB/GYN,silver,
"Fall w/ headstrike, b/l arm weakness",407,Head injury,Neurologic,silver,
PPH/retained placenta/preeclampsice,455,Vaginal bleed,OB/GYN,rule,PPH_OBSTETRIC_BLEED
sever ABD pain,251,Abdominal pain,Gastrointestinal,silver,
"Snowmobile injury, suspected spinal injury",552,Traumatic back/spine injury,Orthopedic,silver,
Pneumonia,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Pregnant and Preterm Contractions,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
Gangrene,709,Localized swelling/redness,Skin,rule,GANGRENE
fever,852,Fever,General and Minor,silver,
GSW to ABD,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
Resp distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Left Buttocks Abscess,709,Localized swelling/redness,Skin,silver,
34wk G8P5@9 nonviable pregnancy COVID+,653,Cough/congestion,Respiratory,rule,COVID
"MVC, ankle injury",557,Lower extremity injury,Orthopedic,silver,
Lt knee injury,557,Lower extremity injury,Orthopedic,silver,
AMS,401,Altered level of consciousness,Neurologic,silver,
ischemic stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
Possible Broken Jaw,102,Facial trauma,ENT - Mouth/Throat/Neck,silver,
"AMS, CAP",402,Confusion,Neurologic,silver,
GSW L Chest,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
Liver failure,863,Abnormal lab values,General and Minor,silver,
pregnant and bleeding,455,Vaginal bleed,OB/GYN,silver,
"Pneumonia, Dehydration",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Eye Injury,510,Eye trauma,Ophthalmology,silver,
"Fall, hip pain L ?fracture",557,Lower extremity injury,Orthopedic,silver,
vertigo facial droop,402,Confusion,Neurologic,silver,
Bowel perforation gastric,251,Abdominal pain,Gastrointestinal,rule,BOWEL_PERFORATION
R hip pain,555,Lower extremity pain,Orthopedic,silver,
Broken arm,556,Upper extremity injury,Orthopedic,silver,
Possible septic R knee,558,Joint(s) swelling,Orthopedic,silver,
ATV accident Pelvic Injur/Alcohol,802,Major trauma—blunt,Trauma,silver,
"likely UTI, kidney stones, no IV access, no pain meds",307,UTI complaints,Genitourinary,silver,
intractable vomiting,257,Nausea and/or vomiting,Gastrointestinal,silver,
Left arm fracture,557,Lower extremity injury,Orthopedic,silver,
GSW to chest,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
hematemesis,259,Vomiting blood,Gastrointestinal,silver,
Vaginal bleeding,455,Vaginal bleed,OB/GYN,silver,
L femur,555,Lower extremity pain,Orthopedic,silver,
necro fascitis,866,Minor complaints NOS,General and Minor,silver,
RLQ Pain x <DATE_TIME>,251,Abdominal pain,Gastrointestinal,silver,
3rd degree HB,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
ABD Paint,251,Abdominal pain,Gastrointestinal,silver,
MVA injury,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
"hypoxia, confusion, ataxia",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Infection of feet,709,Localized swelling/redness,Skin,silver,
"Ischemic stroke, hypotension, respiratory failure",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Pneumothorax,866,Minor complaints NOS,General and Minor,silver,
"fall, seizure",405,Seizure,Neurologic,silver,
Syncope,8,Syncope/pre-syncope,Cardiovascular,silver,
Chest Pain /SOB,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
<PERSON> stab wound,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
<PERSON> problem,359,Concern for patient's welfare,Mental Health,silver,
epelicticus,405,Seizure,Neurologic,silver,
Tylenal/Gabapentin OD,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Right Arm Injury,556,Upper extremity injury,Orthopedic,silver,
fall,802,Major trauma—blunt,Trauma,silver,
Possible compartment syndrome,709,Localized swelling/redness,Skin,silver,
"<PERSON> pain, fever, tachycardia",852,Fever,General and Minor,silver,
"Pregnant, <PERSON>",457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
"Chest pain, NSTEMI",3,Chest pain—cardiac features,Cardiovascular,rule,STEMI_NSTEMI
<PERSON> due to GI bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
recurrent nosebleed,151,Epistaxis,ENT - Nose,silver,
Fx orbital floor,510,Eye trauma,Ophthalmology,silver,
Afib with RVR + chest pain,5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
toxic injestion,752,Overdose ingestion,Substance Misuse,silver,
fever abd pain,251,Abdominal pain,Gastrointestinal,silver,
preclampsia,457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
upper GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
Perforated sigmoid editis,866,Minor complaints NOS,General and Minor,silver,
"L weakness, stroke",409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
RLQ pain,251,Abdominal pain,Gastrointestinal,silver,
SI/HI,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
Possible Pneumonia,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
MVA/Polytrauma,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
